ID,Category,Tools,RuleDescription,RuleType
1,General Chat,"ChatGPT, Claude, Gemini, Deepseek, Qwen, Grok, Microsoft Copilot","Entering private, proprietary, or client information into general chat programs is prohibited without an authorized corporate agreement. This includes not entering PII, passwords, API credentials, or internal financial data into any chat tool.",Data Rule
2,General Chat,"ChatGPT, Claude, Gemini, Deepseek, Qwen, Grok, Microsoft Copilot","Before being implemented in formal deliverables or external communications, all AI-generated outputs must be evaluated by human review.",Review Required
3,General Chat,"ChatGPT, Claude, Gemini, Deepseek, Qwen, Grok, Microsoft Copilot","AI involvement must be disclosed when using AI-generated content in legal, compliance, or regulatory submissions.",Risky
4,General Chat,"ChatGPT, Claude, Gemini, Deepseek, Qwen, Grok, Microsoft Copilot","Employees must not use unlicensed or consumer accounts, such as personal Microsoft Copilot, for business purposes. They are also responsible for verifying the accuracy of any AI-generated content before taking action.",Prohibited
5,General Chat,"ChatGPT, Claude, Gemini, Deepseek, Qwen, Grok, Microsoft Copilot",Only general personal research is permitted using Deepseek and Qwen. Don't utilize it for any projects or tasks related to business.,Special Case
6,Coding,"Github Copilot, Blackbox, Replit, Groq","Proprietary source code that contains client data, credentials, or business logic should not be pasted into public LLM interfaces.",Data Rule
7,Coding,"Github Copilot, Blackbox, Replit, Groq",Standard code review is required for all AI-generated code intended for production deployment. The code that a developer commits is their responsibility.,Review Required
8,Coding,"Github Copilot, Blackbox, Replit, Groq","Code generated by AI may contain archaic functions, faulty logic, or security concerns. Don't ever deploy without testing and review.",Risky
9,Coding,"Github Copilot, Blackbox, Replit, Groq","In AI-generated code, never hardcode credentials, secrets, or API keys. Make use of authorized secret management and environment variables.",Prohibited
10,Automation & Workflow,"n8n, Zapier, PowerAutomate","Before being deployed, all workflows handling confidential data must receive IT Security approval.",Review Required
11,Automation & Workflow,"n8n, Zapier, PowerAutomate",A human review step in the workflow architecture is necessary for automated processes that impact financial data or customer information.,Review Required
12,Automation & Workflow,"n8n, Zapier, PowerAutomate","For organizational workflows, avoid using a personal account. Only use accounts belonging to organizations.",Risky
13,Automation & Workflow,"n8n, Zapier, PowerAutomate",Workflows should never be connected to any third-party services or APIs without prior IT security authorization.,Prohibited
14,Search Engine,Perplexity,"Use solely for public research. Never fill out a query with private, client, or internal company information.",Data Rule
15,Search Engine,Perplexity,"Before using responses in reports, documentation, or business decisions, always check them against referenced sources.",Review Required
16,Search Engine,Perplexity,"For legal, compliance, competitive, or strategic research, do not utilize Perplexity entirely.",Prohibited
17,Productivity & Platform,"Notion, Quillbot, Grammarly, Parakeet AI","Never use personal accounts; only use ones for work. No AI prompt should contain customer information, contract terms, confidential content, or specific employee information.",Data Rule
18,Productivity & Platform,"Notion, Quillbot, Grammarly, Parakeet AI","Before being published or sent, all AI-generated papers, SOPs, and communications must be examined and approved by the appropriate process owner, HR Manager, or Department Head.",Review Required
19,Productivity & Platform,"Notion, Quillbot, Grammarly, Parakeet AI","AI is unable to comprehend corporate dynamics or existing connections. Before utilizing any AI-drafted output, always modify the tone, content, and context using your own understanding.",Risky
20,Productivity & Platform,"Notion, Quillbot, Grammarly, Parakeet AI","Communications concerning disciplinary actions, redundancy, or potentially sensitive organizational changes should not be generated by AI; full human creation and legal consent are required.",Prohibited
21,Media Generation,"Remini, Dall-E, Suno.ai","Before being published, the Department Head must approve any AI-generated content intended for external or client distribution.",Review Required
22,Media Generation,"Remini, Dall-E, Suno.ai",It is possible to mislead AI-generated voices and faces for actual people. A disclosure of AI should always be included in the content description.,Risky
23,Media Generation,"Remini, Dall-E, Suno.ai",Under no circumstances should you create deepfake-style footage of actual people.,Prohibited
